,Popularity,Region,TERM,Full Form | Definition | Meaning,MainCategory,SubCategory
3894,40,Canada,CGPA,Canadian Generic Pharmaceutical Association,Associations & Organizations,Regional Organizations
3895,60,India,CGPDTM,Controller General of Patents Designs and Trademarks,Business,Patents & Trademarks
3896,20,Canada,CGRF,Canadian Geomagnetic Reference Field,Governmental,Census & Statistics
3897,10,India,CGRF,Consumer Grievance Redressal Forum,Governmental,Rules & Regulations
3898,50,India,CGST,Central Goods and Services Tax,Governmental,Rules & Regulations
3899,20,United,CGST,Clinical Governance Support Team,Associations & Organizations,Medical Organizations
3900,20,Hong,CGST,China Graduate School of Theology,Academic & Science,Universities & Institutions
3901,20,Jamaica,CGST,Caribbean Graduate School of Theology,Academic & Science,Universities & Institutions
3902,20,United,CGST,Columbia Gorge School of Theatre,Academic & Science,Universities & Institutions
3903,40,India,CGTMSE,Credit Guarantee Fund Trust for Micro and Small Enterprises,Business,Banking
3904,60,Worldwide,CGTN,China Global Television Network,News & Entertainment,TV & Radio
3905,70,Worldwide,CHAdeMO,CHArge de MOve,Technology,Energy & Recycling
3906,60,Worldwide,CHAP,Challenge-Handshake Authentication Protocol,Computing,Protocols
3907,40,United,CHAP,Community Health Accreditation Program,Associations & Organizations,Regional Organizations
3908,70,Worldwide,ChAT,Choline AcetylTransferase,Medical,Anatomy & Physiology
3909,40,Worldwide,ChAT,Checklist for Autism in Toddlers,Medical,Psychology
3910,20,Canada,CHAT,Community Hebrew Academy of Toronto,Academic & Science,Universities & Institutions
3911,60,Worldwide,CHC,Community Health Center,Medical,Healthcare
3912,40,Worldwide,CHC,Community Health Council,Associations & Organizations,Medical Organizations
3913,40,United,CHC,Chestnut Hill College,Academic & Science,Universities & Institutions
3914,30,Portugal,CHC,Centro Hospitalar de Coimbra,Medical,Hospitals
3915,30,Worldwide,CHC,Community Health Club,Associations & Organizations,Medical Organizations
3916,30,United,CHC,Clark Honors College,Academic & Science,Universities & Institutions
3917,10,United,CHC,Calvert Hall College,Academic & Science,Universities & Institutions
3918,10,Sri,CHC,Chavakachcheri Hindu College,Academic & Science,Universities & Institutions
3919,10,United,CHC,College of the Holy Cross,Academic & Science,Universities & Institutions
3920,10,South,CHC,Cornwall Hill College,Academic & Science,Universities & Institutions
3921,70,Switzerland,CHE,Switzerland,Regional,Countries
3922,40,Worldwide,ChE,Chemical Engineer/Engineering,Academic & Science,Chemistry
3923,30,Russian,che,Chechen language,Regional,Language Codes
3924,30,Canada,CHE,Certified Health Executive,Business,Job Titles
3925,30,Worldwide,ChE,Cholinesterase,Medical,Biochemistry
3926,30,Philippines,CHE,College of Human Ecology,Academic & Science,Universities & Institutions
3927,20,United,CHE,Campaign for Homosexual Equality,Associations & Organizations,Regional Organizations
3928,20,United,CHE,Cherry Hill East,Academic & Science,Universities & Institutions
3929,20,Netherlands,CHE,Christelijke Hogeschool Ede,Academic & Science,Universities & Institutions
3930,20,United,CHE,Cheam railway station,Transport & Travel,Railway Station Codes
3931,20,United,CHE,Centre for Human Ecology,Academic & Science,Universities & Institutions
3932,30,Worldwide,ChEBI,Chemical Entities of Biological Interest,Computing,Websites
3933,100,Worldwide,Chemistry,comes from the word alchemy,Miscellaneous,Etymology (Word Origins)
3934,70,Worldwide,Chevrolet,"named after its co-founder, Louis Chevrolet",Business,Companies & Corporations
3935,80,United,CHIP,Children’s Health Insurance Program,Governmental,Departments & Agencies
3936,20,Worldwide,ChIP,Chromatin Immunoprecipitation,Medical,Genetics
3937,90,Worldwide,CHP,Combined Heat and Power,Academic & Science,Electrical
3938,60,Turkey,CHP,Cumhuriyet Halk Partisi,Governmental,Politics
3939,40,United,CHP,California Highway Patrol,Governmental,Police
3940,20,Canada,CHP,Hristian Heritage Party of Canada,Governmental,Politics
3941,20,United,CHP,Circle Hot Springs Airport,Transport & Travel,Airport Codes
3942,10,Worldwide,CHP,Claris Home Page,Computing,Software & Applications
3943,10,United,CHP,City on a Hill Press,News & Entertainment,Journals & Publications
3944,100,Worldwide,Christmas,"from Old English: Crīstesmæsse, literally “Christ’s mass”",Society & Culture,Religion & Spirituality
3945,60,Worldwide,Chrysler,"named after its founder, Walter Chrysler",Business,Companies & Corporations
3946,100,Ivory,CI,Ivory Coast,Regional,Countries
3947,60,Worldwide,CI,Common Interface,Technology,Specifications & Standards
3948,60,Worldwide,CI,Cast Iron,Academic & Science,Architecture & Constructions
3949,50,Worldwide,CI,Cardiac Index,Medical,Tests
3950,50,Worldwide,CI,Confidence Interval,Academic & Science,Mathematics
3951,50,Worldwide,CI,Configuration Item,Computing,General Computing
3952,50,Worldwide,CI,Continuous Integration,Computing,Programming & Development
3953,50,Worldwide,CI,Color Index,Arts,Visual arts
3954,50,Worldwide,CI,Case Insensitive,Computing,Programming & Development
3955,40,Worldwide,CI,Competitive Intelligence,Business,Business Terms
3956,40,Worldwide,CI,Comprehensive Income,Business,Accounting
3957,30,Worldwide,CI,Cochlear Implant,Medical,Instruments & Equipment
3958,30,India,CI,Circle Inspector,Governmental,Police
3959,10,Ivory,ci,Ivory Coast (TLD),Computing,Domain Names (TLD)
3960,60,Worldwide,CI/CD,Continuous Integration/Continuous Delivery or Continuous Integration/Continuous Deployment,Computing,Programming & Development
3961,90,United,CIA,Central Intelligence Agency,Governmental,Security & Defence
3962,40,United,CIA,Cleveland Institute of Art,Academic & Science,Universities & Institutions
3963,40,Canada,CIA,Canadian Institute of Actuaries,Associations & Organizations,Regional Organizations
3964,30,India,CIA,Comrade in America,News & Entertainment,Movies & Film
3965,30,United,CIA,Culinary Institute of America,Academic & Science,Universities & Institutions
3966,30,Worldwide,CIA,Certified Internal Auditor,Academic & Science,Academic Degrees
3967,30,United,CIA,Chemical Industries Association,Associations & Organizations,Trade Associations
3968,20,Italy,CIA,Ciampino Airport,Transport & Travel,Airport Codes
3969,10,United,CIA,Courtauld Institute of Art,Academic & Science,Universities & Institutions
3970,70,India,CIAL,Cochin International Airport Limited,Business,Companies & Corporations
3971,50,India,CIBIL,Credit Information Bureau of India Limited,Business,Banking
3972,60,Worldwide,CID,Criminal Investigation Department,Governmental,Police
3973,40,Worldwide,CID,Caller ID,Technology,Communication
3974,30,United,CID,Eastern Iowa Airport,Transport & Travel,Airport Codes
3975,30,United,CID,Central Institute for the Deaf,Academic & Science,Universities & Institutions
3976,30,Worldwide,CID,Card ID,Business,Banking
3977,20,India,CID,Crime Investigation Department,News & Entertainment,TV & Radio
3978,20,Worldwide,CID,Chinese Imperial Dog,Animal Kingdom,Pets & Domesticated
3979,50,India,CIDCO,City and Industrial Development Corporation of Maharashtra,Associations & Organizations,Regional Organizations
3980,30,India,CIEFL,Central Institute of English and Foreign Languages,Academic & Science,Universities & Institutions
3981,70,Worldwide,CIF,"Cost, Insurance, and Freight",Business,Business Terms
3982,40,United,Cif,Comment is free,Computing,Internet
3983,30,Worldwide,CIF,Council of International Fellowship,Associations & Organizations,International Orgaizations
3984,20,United,CIF,California Interscholastic Federation,Governmental,Departments & Agencies
3985,20,Worldwide,CIF,Common Intermediate Format,Computing,Compression & Encoding
3986,20,Worldwide,CIF,Collective Investment Fund,Business,Banking
3987,20,Worldwide,CIF,Caltech Intermediate Format,Academic & Science,Electronics
3988,20,United,CIF,Central Instrumentation Facility,Academic & Science,Research & Development
3989,20,Worldwide,CIF,Crystallographic Information File,Computing,File Extensions
3990,20,India,CIF,Childline India Foundation,Associations & Organizations,Regional Organizations
3991,10,China,CIF,Chifeng Yulong Airport,Transport & Travel,Airport Codes
3992,20,India,CIFRI,Central Inland Fisheries Research Institute,Academic & Science,Research & Development
3993,60,United,CII,Construction Industry Institute,Associations & Organizations,Trade Associations
3994,50,United,CII,Children’s Institute International,Associations & Organizations,Social Welfare Organizations
3995,20,India,CII,Confederation of Indian Industry,Associations & Organizations,Trade Associations
3996,40,Worldwide,CILECT,Centre International de Liaison des Écoles de Cinéma et de Télévision,Associations & Organizations,International Orgaizations
3997,10,India,CIMAMS,Chavara Institute of Management And Media Studies,Academic & Science,Universities & Institutions
3998,30,India,CIMFR,Central Institute of Mining and Fuel Research,Governmental,Departments & Agencies
3999,90,India,CIN,Corporate Identification Number,Business,Business Terms
4000,80,Worldwide,CIN,Cervical Intraepithelial Neoplasia,Medical,Diseases & Conditions
4001,60,Worldwide,CIN,Craft Identification Number,Transport & Travel,Water Transport
4002,50,Worldwide,CIN,Chromosomal Instability,Medical,Genetics
4003,50,Worldwide,CIN,Convective Inhibition,Academic & Science,Atmospheric Sciences
4004,50,Worldwide,CIN,Contrast-Induced Nephropathy,Medical,Diseases & Conditions
4005,40,Germany,CIN,Centre for Integrative Neuroscience,Academic & Science,Research & Development
4006,40,Worldwide,cin,Cineon,Computing,File Extensions
4007,40,Jamaica,CIN,Caribbean International Network,News & Entertainment,TV & Radio
4008,30,United,CIN,Chart Information Network,Associations & Organizations,Regional Organizations
4009,20,Portugal,CIN,Corporação Industrial do Norte,Business,Companies & Corporations
4010,10,India,CIPHET,Central Institute of Post-Harvest Engineering and Technology,Academic & Science,Universities & Institutions
4011,40,India,Cipla,"Chemical, Industrial & Pharmaceutical Laboratories",Business,Companies & Corporations
4012,50,Worldwide,CIR,Committed Information Rate,Computing,Networking
4013,40,United,CIR,Center for Investigative Reporting,Associations & Organizations,Regional Organizations
4014,40,Worldwide,CIR,Carrier-to-Interference Ratio,Academic & Science,Electronics
4015,30,United,CIR,Center for Individual Rights,Associations & Organizations,Regional Organizations
4016,30,Worldwide,CIR,Consumer Infrared,Technology,Tech Terms
4017,30,Worldwide,CIR,Central Indian Ridge,Academic & Science,Geology
4018,30,Italy,CIR,Compagnie Industriali Riunite,Business,Companies & Corporations
4019,100,Canada,CIRA,Canadian Internet Registration Authority,Technology,Internet
4020,30,United,CIRM,California Institute for Regenerative Medicine,Governmental,Departments & Agencies
4021,60,Worldwide,CIS,Computer Information Systems,Academic & Science,Courses
4022,40,United,CIS,Center for Immigration Studies,Associations & Organizations,Regional Organizations
4023,40,Kiribati,CIS,Canton Island Airport,Transport & Travel,Airport Codes
4024,40,Australia,CIS,Centre for Independent Studies,Associations & Organizations,Regional Organizations
4025,40,Worldwide,CIS,Commonwealth of Independent States,Associations & Organizations,Regional Organizations
4026,30,Worldwide,CIS,Carcinoma in Situ,Medical,Diseases & Conditions
4027,30,Worldwide,CIS,Clinical Information System,Medical,Hospitals
4028,30,Hong,CIS,Chinese International School,Academic & Science,Universities & Institutions
4029,30,Worldwide,CIS,Contact Image Sensing,Technology,Imaging & Printing
4030,20,Worldwide,CIS,Community Innovation Surveys,Governmental,Census & Statistics
4031,20,Denmark,CIS,Copenhagen International School,Academic & Science,Universities & Institutions
4032,20,Sri,CIS,Colombo International School,Academic & Science,Universities & Institutions
4033,20,Canada,CIS,Commemorative Integrity Statement,Governmental,Documents & Certificates
4034,20,Worldwide,CIS,Computerized Information System,Business,Business Terms
4035,10,Worldwide,CIS,Council of International Schools,Associations & Organizations,Educational Organizations
4036,10,United,CIS,Co-operative Insurance Society,Business,Companies & Corporations
4037,50,India,CISCE,Council for the Indian School Certificate Examinations,Academic & Science,Universities & Institutions
4038,90,Worldwide,Cisco,from San Francisco,Business,Companies & Corporations
4039,70,India,CISF,Central Industrial Security Force,Governmental,Weapons & Forces
4040,40,Italy,CISF,Centro Internazionale Studi Famiglia,Associations & Organizations,Regional Organizations
4041,30,Cayman,CISPA,Cayman Islands Society of Professional Accountants,Associations & Organizations,Non-Profit Organizations
4042,20,United,CISPA,California Internet Service Provider Association,Associations & Organizations,Technological Organizations
4043,20,United,CISPA,Cyber Intelligence Sharing and Protection Act,Governmental,Law & Legal
4044,60,Worldwide,CISSP,Certified Information Systems Security Professional,Computing,Security
4045,50,Worldwide,Citroen,"named after its founder, André Citroën",Business,Companies & Corporations
4046,50,India,CITU,Centre of Indian Trade Unions,Regional,Unions
4047,20,United,CITU,Central Information Technology Unit,Associations & Organizations,Governmental Organizations
4048,40,India,CJC,Christ Junior College,Academic & Science,Universities & Institutions
4049,30,Worldwide,CJC,Cold Junction Compensation,Academic & Science,Electronics
4050,30,Singapore,CJC,Catholic Junior College,Academic & Science,Universities & Institutions
4051,20,Canada,CJC,Canadian Jewish Congress,Associations & Organizations,Regional Organizations
4052,30,Worldwide,CJM,Congregation of Jesus and Mary,Society & Culture,Religion & Spirituality
4053,30,Thailand,CJM,Chumphon Airport,Transport & Travel,Airport Codes
4054,20,Canada,CJM,Canadian Journal of Mathematics,News & Entertainment,Journals & Publications
4055,20,India,CJM,Chief Judicial Magistrate,Governmental,Law & Legal
4056,20,United,CJM,Contemporary Jewish Museum,Regional,Buildings & Landmarks
4057,10,Worldwide,CJM,Corporate Jet Management,Business,Companies & Corporations
4058,90,Worldwide,CKD,Chronic Kidney Disease,Medical,Diseases & Conditions
4059,60,Worldwide,CKD,Complete Knock-Down,Business,Business Terms
4060,50,United,CKD,Crooked Creek Airport,Transport & Travel,Airport Codes
4061,50,Worldwide,CKD,Cement Kiln Dust,Academic & Science,Architecture & Constructions
4062,40,Worldwide,CKD,Count Key Data,Computing,Data Storage
4063,40,Worldwide,CKD,Certified Kitchen Designer,Business,Job Titles
4064,40,Mexico,CKD,Certificado de Capital de Desarrollo,Business,Finance
4065,40,Worldwide,CKD,Cyclical Ketogenic Diet,Society & Culture,Food & Drink
4066,30,Czech,CKD,Českomoravská Kolben-Daněk,Business,Companies & Corporations
4067,30,Worldwide,CKD,Choi Kwang Do,Sports & Games,Martial Arts
4068,10,India,CKWL,Tatkal Waiting List,Transport & Travel,Rail Transport
4069,50,India,CKYC,Central Know Your Customer,Governmental,Rules & Regulations
4070,30,India,CKYCR,Central KYC Registry,Governmental,Rules & Regulations
4071,60,India,CLAT,Common Law Admission Test,Academic & Science,Exams & Tests
4072,10,Worldwide,CLAT,Charitable Lead Annuity Trust,Associations & Organizations,Social Welfare Organizations
4073,10,Worldwide,CLAT,Controlled Language Authoring Technology,Computing,Software & Applications
4074,80,Worldwide,CLI,Command-Line Interface,Computing,General Computing
4075,40,Worldwide,CLI,Command Line Interpreter,Computing,Software & Applications
4076,40,India,CLI,Chalgeri,Transport & Travel,IRCTC Station Codes
4077,30,Worldwide,CLI,Caller Line Identity,Technology,Communication
4078,30,United,CLI,Clintonville Municipal Airport,Transport & Travel,Airport Codes
4079,20,United,CLI,Committee for the Liberation of Iraq,Associations & Organizations,Regional Organizations
4080,20,Worldwide,CLI,Common Language Infrastructure,Computing,Programming & Development
4081,80,Worldwide,CLX,Component Library for Cross Platform,Computing,Programming Languages
4082,20,Worldwide,CLX,Cluster Extension Software,Computing,Software & Applications
4083,20,India,CLX,Chirala Railway Station,Transport & Travel,Railway Station Codes
4084,100,Worldwide,cm,Centimeter,Academic & Science,Units
4085,80,Worldwide,CM,Chief Minister,Governmental,Titles
4086,60,Worldwide,CM,CyanogenMod,Computing,Software & Applications
4087,40,Worldwide,cM,Centimorgan,Academic & Science,Units
4088,30,Worldwide,CM,Championship Manager,Computing,Games & Entertainment
4089,30,Worldwide,CM,Connection Machine,Computing,Hardware
4090,30,Worldwide,CM,Content Management,Computing,General Computing
4091,80,Worldwide,CMA,Certified Management Accountant,Academic & Science,Courses
4092,60,United,CMA,Country Music Association,Associations & Organizations,Regional Organizations
4093,60,Canada,CMA,Canadian Medical Association,Associations & Organizations,Medical Organizations
4094,60,United,CMA,Cleveland Museum of Art,Regional,Buildings & Landmarks
4095,60,Saudi,CMA,Capital Market Authority,Associations & Organizations,Governmental Organizations
4096,70,India,CMAT,Common Management Admission Test,Academic & Science,Exams & Tests
4097,20,Canada,CMAT,Canadian Medical Assistance Teams,Associations & Organizations,Social Welfare Organizations
4098,40,Worldwide,CMC,Critical Micelle Concentration,Academic & Science,Chemistry
4099,30,United,CMC,Colorado Mountain College,Academic & Science,Universities & Institutions
4100,30,United,CMC,Carolinas Medical Center,Medical,Hospitals
4101,30,United,CMC,Claremont McKenna College,Academic & Science,Universities & Institutions
4102,30,Worldwide,CMC,Certified Management Consultant,Business,Job Titles
4103,30,Worldwide,CMC,Carboxymethylcellulose,Society & Culture,Food & Drink
4104,30,China,CMC,Central Military Commission,Governmental,Security & Defence
4105,30,Taiwan,CMC,Chi Mei Corporation,Business,Companies & Corporations
4106,30,India,CMC,Congregation of the Mother of Carmel,Society & Culture,Religion & Spirituality
4107,30,India,CMC,Computer Maintenance Corporation,Business,Companies & Corporations
4108,20,Canada,CMC,Canadian Museum of Civilization,Regional,Buildings & Landmarks
4109,20,Australia,CMC,Crime and Misconduct Commission,Governmental,Departments & Agencies
4110,20,India,CMC,Christian Medical College,Academic & Science,Universities & Institutions
4111,20,India,CMC,Calcutta Municipal Corporation,Governmental,Departments & Agencies
4112,20,Canada,CMC,Canadian Marconi Company,Business,Companies & Corporations
4113,20,India,CMC,Coimbatore Medical College,Academic & Science,Universities & Institutions
4114,10,Brazil,CMC,Camocim Airport,Transport & Travel,Airport Codes
4115,70,Worldwide,cmd,Command Prompt,Computing,Commands
4116,30,Worldwide,CMD,Color Magnitude Diagram,Academic & Science,Astronomy & Space Science
4117,20,India,CMD,Chairman & Managing Director,Business,Job Titles
4118,10,Australia,CMD,Cootamundra Airport,Transport & Travel,Airport Codes
4119,40,India,CMDRF,Chief Minister’s Distress Relief Fund,Governmental,Policies & Programs
4120,40,India,CMFRI,Central Marine Fisheries Research Institute,Academic & Science,Research & Development
4121,70,Worldwide,CMI,Cell-Mediated Immunity,Medical,Anatomy & Physiology
4122,60,India,CMI,Carmelites of Mary Immaculate,Associations & Organizations,Religious Organizations
4123,50,United,CMI,"Cummins, Inc.",Stock Exchanges,NYSE
4124,50,Worldwide,CMI,Case Mix Index,Medical,Healthcare
4125,50,United,CMI,Chartered Management Institute,Associations & Organizations,Professional Associations
4126,50,Norway,CMI,Chr. Michelsen Institute,Academic & Science,Research & Development
4127,50,Australia,CMI,Consumer Medicine Information,Medical,Healthcare
4128,50,Worldwide,CMI,Consejo Mundial de Iglesias,Associations & Organizations,Religious Organizations
4129,40,Worldwide,CMI,Chiang Mai Initiative,Business,Finance
4130,40,Worldwide,CMI,Credit Managers’ Index,Business,Business Terms
4131,40,India,CMI,Chennai Mathematical Institute,Academic & Science,Universities & Institutions
4132,40,United,CMI,Clay Mathematics Institute,Academic & Science,Universities & Institutions
4133,40,Worldwide,CMI,Creation Ministries International,Associations & Organizations,Religious Organizations
4134,40,Finland,CMI,Crisis Management Initiative,Associations & Organizations,Regional Organizations
4135,40,Worldwide,CMI,Certified Master Inspector,Medical,Healthcare
4136,30,Belgium,CMI,Cockerill Maintenance & Ingénierie,Business,Companies & Corporations
4137,30,Worldwide,CMI,Coded Mark Inversion,Technology,Communication
4138,30,Worldwide,CMI,Chronic Mental Illness,Medical,Psychiatry & Mental Health
4139,30,Worldwide,CMI,Cambridge–MIT Institute,Academic & Science,Universities & Institutions
4140,30,Marshall,CMI,College of the Marshall Islands,Academic & Science,Universities & Institutions
4141,30,United,CMI,Culture and Media Institute,Associations & Organizations,Regional Organizations
4142,30,Sweden,CMI,Cold Meat Industry,News & Entertainment,Music
4143,20,United,CMI,Chicago Musical Instruments,Business,Companies & Corporations
4144,20,Taiwan,CMI,Chimei Innolux Corporation,Business,Companies & Corporations
4145,20,United,CMI,Computer Memories Inc.,Business,Companies & Corporations
4146,20,Guam,CMI,"Continental Micronesia, Inc.",Transport & Travel,Airline Codes
4147,20,Worldwide,CMI,Content Management Interface,Technology,Tech Terms
4148,10,Taiwan,CMI,China Maritime Institute,Academic & Science,Research & Development
4149,70,Worldwide,CMM,Coordinate Measuring Machine,Technology,Instruments & Devices
4150,60,Worldwide,CMM,Capability Maturity Model,Computing,Programming & Development
4151,40,Worldwide,CMM,Communication Media Module,Computing,Networking
4152,40,Worldwide,CMM,Color Management Module,Computing,General Computing
4153,40,Worldwide,CMM,Coordinated Management of Meaning,Academic & Science,Courses
4154,30,Worldwide,CMM,Cluster Management Module,Technology,Communication
4155,30,Worldwide,CMM,Conditional Markov Model,Computing,General Computing
4156,30,Chile,CMM,Center for Mathematical Modeling,Academic & Science,Research & Development
4157,30,France,CMM,Centre de Morphologie Mathématique,Academic & Science,Research & Development
4158,30,India,CMM,छत्तीसगढ़ मुक्ति मोर्चा,Governmental,Politics
4159,20,Worldwide,CMM,Congregatio Missionariorum de Mariannhill,Society & Culture,Religion & Spirituality
4160,20,Worldwide,CMM,Corpus Mensurabilis Musicae,News & Entertainment,Music
4161,80,Worldwide,CMO,Chief Medical Officer,Governmental,Titles
4162,60,Worldwide,CMO,Chief Marketing Officer,Business,Job Titles
4163,50,Worldwide,CMO,Civil-Military Operations,Governmental,Military
4164,20,Taiwan,CMO,Chi Mei Optoelectronics,Business,Companies & Corporations
4165,20,United,CMO,Collateralized Mortgage Obligation,Business,Banking
4166,20,Somalia,CMO,Obbia Airport,Transport & Travel,Airport Codes
4167,80,Worldwide,CMOS,Complementary Metal-Oxide Semiconductor,Academic & Science,Electronics
4168,50,Worldwide,CMOS,Chicago Manual of Style,Academic & Science,Language & Linguistics
4169,40,Canada,CMOS,Canadian Meteorological and Oceanographic Society,Associations & Organizations,Regional Organizations
4170,100,Worldwide,CMS,Content Management System,Computing,Internet
4171,90,United,CMS,Centers for Medicare & Medicaid Services,Governmental,Departments & Agencies
4172,60,Worldwide,CMS,Course Management System,Computing,Software & Applications
4173,50,United,CMS,Church Mission Society,Society & Culture,Religion & Spirituality
4174,50,India,CMS,Church Missionary Society,Academic & Science,Universities & Institutions
4175,50,United,CMS,Charlotte-Mecklenburg Schools,Academic & Science,Universities & Institutions
4176,50,Worldwide,CMS,Color Management System,Technology,Display & Graphics
4177,40,Canada,CMS,Canadian Mathematical Society,Associations & Organizations,Professional Associations
4178,40,Worldwide,CMS,Convention on Migratory Species,Animal Kingdom,Animal Conservation
4179,40,Worldwide,CMS,Cash Management Services,Business,Banking
4180,40,India,CMS,Crew Management System,Transport & Travel,Rail Transport
4181,40,China,CMS,Chinese Mathematical Society,Associations & Organizations,Professional Associations
4182,100,Worldwide,CMYK,"Cyan, Magenta, Yellow, Key (black)",Technology,Imaging & Printing
4183,100,China,CN,China,Regional,Countries
4184,80,Worldwide,CN,Cartoon Network,News & Entertainment,TV & Radio
4185,70,Canada,CN,Canadian National Railway Company,Transport & Travel,Rail Transport
4186,50,China,cn,China (TLD),Computing,Internet
4187,50,Worldwide,CN,Cyanide,Academic & Science,Chemistry
4188,40,Worldwide,CN,Common Name,Computing,Internet
4189,40,Worldwide,CN,Core Network,Technology,Communication
4190,30,Worldwide,Cn,Copernicium,Academic & Science,Chemistry
4191,30,Worldwide,CN,Cyber Nations,Computing,Games & Entertainment
4192,30,Ireland,CN,County Cavan,Transport & Travel,License Plates
4193,20,Worldwide,CN,Congenital Nystagmus,Medical,Diseases & Conditions
4194,90,Worldwide,CNA,Certified Nursing Assistant,Medical,Healthcare
4195,50,Singapore,CNA,Channel NewsAsia,News & Entertainment,TV & Radio
4196,50,Canada,CNA,Canadian Nurses Association,Associations & Organizations,Medical Organizations
4197,40,United,CNA,California Nurses Association,Associations & Organizations,Trade Associations
4198,40,Worldwide,CNA,Certified Novell Administrator,Computing,Networking
4199,40,Worldwide,CNA,Cisco Networking Academy,Computing,Networking
4200,40,Worldwide,CNAME,Canonical Name,Computing,Programming & Development
4201,40,United,CNBC,Consumer News and Business Channel,News & Entertainment,TV & Radio
4202,30,China,CNBC,China National Biotech Corporation,Business,Companies & Corporations
4203,20,United,CNBC,Congress of National Black Churches,Associations & Organizations,Religious Organizations
4204,80,Worldwide,CNC,Computer Numerical Control,Technology,Robotics & Automation
4205,60,France,CNC,Centre National du Cinéma et de l'image animée,Governmental,Departments & Agencies
4206,40,Worldwide,CNC,Certified Nutritional Consultant,Academic & Science,Exams & Tests
4207,40,Australia,CNC,Coconut Island Airport,Transport & Travel,Airport Codes
4208,40,United,CNC,Civil Nuclear Constabulary,Governmental,Police
4209,40,Canada,CNC,College of New Caledonia,Academic & Science,Universities & Institutions
4210,40,Sri,CNC,Ceylon National Congress,Governmental,Politics
4211,40,Portugal,CNC,Centre for Neuroscience and Cell Biology,Academic & Science,Research & Development
4212,40,Spain,CNC,Congreso Nacional de Canarias,Governmental,Politics
4213,40,Paraguay,CNC,Colegio Nacional de la Capital,Academic & Science,Universities & Institutions
4214,30,United,CNC,Chippewa Nature Center,Regional,Places
4215,30,Worldwide,CNC,City Nature Challenge,Associations & Organizations,Conferences & Events
4216,30,Worldwide,CNC,Configurable Network Computing,Computing,Software & Applications
4217,30,Worldwide,CNC,Czech National Corpus,Academic & Science,Language & Linguistics
4218,30,China,CNC,China Netcom,Business,Companies & Corporations
4219,30,United,CNC,Community Newspaper Company,News & Entertainment,News
4220,30,United,CNC,Cadet Nurse Corps,Governmental,Departments & Agencies
4221,20,Spain,CNC,Conceju Nacionaliegu Cántabru,Governmental,Politics
4222,60,France,CNES,Centre National d’Études Spatiales,Governmental,Departments & Agencies
4223,30,United,CnES,Comhairle nan Eilean Siar,Governmental,Departments & Agencies
4224,40,Worldwide,CNF,Conjunctive Normal Form,Academic & Science,Mathematics
4225,30,India,CNF,Confirmed Ticket,Transport & Travel,Rail Transport
4226,30,Worldwide,CNF,Compressed Natural Fuel,Technology,Tech Terms
4227,20,Brazil,CNF,Tancredo Neves/Confins International Airport,Transport & Travel,Airport Codes
4228,80,Worldwide,CNG,Compressed Natural Gas,Academic & Science,Chemistry
4229,50,Worldwide,CNG,Cyclic Nucleotide–Gated,Academic & Science,Biology
4230,40,United,CNG,Connecticut Natural Gas,Business,Companies & Corporations
4231,40,United,CNG,Certified Naturally Grown,Associations & Organizations,Regional Organizations
4232,40,Worldwide,CNG,Comfort Noise Generator,Technology,Communication
4233,30,Haiti,CNG,Conseil National de Gouvernement,Governmental,Departments & Agencies
4234,20,Cyprus,CNG,Cypriot National Guard,Governmental,Military
4235,10,Croatia,CNG,Croatian National Guard,Governmental,Military
4236,10,China,CNG,Chinese National Geography,News & Entertainment,Journals & Publications
4237,40,China,CNGB,China National GeneBank,Academic & Science,Research & Development
4238,30,United,CNGB,Chief of the National Guard Bureau,Governmental,Titles
4239,100,United,CNN,Cable News Network,News & Entertainment,TV & Radio
4240,30,Worldwide,CNN,Cellular Neural Network,Computing,General Computing
4241,50,India,CNN-IBN,Cable News Network-Indian Broadcasting Network,News & Entertainment,News
4242,50,China,CNNIC,China Internet Network Information Center,Computing,Internet
4243,50,Worldwide,CNR,Carrier to Noise Ratio,Academic & Science,Electronics
4244,40,Italy,CNR,National Research Council,Associations & Organizations,Governmental Organizations
4245,40,Worldwide,CNR,Communication and Networking Riser,Technology,Specifications & Standards
4246,20,Worldwide,CNR,Cisco Network Registrar,Computing,Software & Applications
4247,70,China,CNSA,China National Space Administration,Governmental,Departments & Agencies
4248,40,Canada,CNSA,Canadian Nursing Students’ Association,Associations & Organizations,Regional Organizations
4249,40,United,CNSA,California Nursing Student Association,Associations & Organizations,Regional Organizations
4250,40,Australia,CNSA,Cancer Nurses Society of Australia,Associations & Organizations,Regional Organizations
4251,20,Belgium,CNSA,Comité National de Secours et d'Alimentation,Associations & Organizations,Regional Organizations
4252,20,Canada,CNSA,Council of Nova Scotia Archives,Associations & Organizations,Regional Organizations
4253,20,China,CNSA,China National School of Administration,Academic & Science,Universities & Institutions
4254,40,Worldwide,CNTFET,Carbon Nanotube Field-Effect Transistor,Academic & Science,Electronics
4255,100,Worldwide,Co,Company,Business,Business Terms
4256,90,Colombia,CO,Colombia,Regional,Countries
4257,90,Worldwide,co,Commercial,Computing,Internet
4258,80,Worldwide,co,Colombia (ccTLD),Computing,Domain Names (TLD)
4259,80,United,CO,Colorado,Regional,Postal Codes
4260,80,Worldwide,Co,Cobalt,Academic & Science,Chemistry
4261,60,Worldwide,CO,Commanding Officer,Governmental,Titles
